Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2017-01-01,Confraternização Universal,New Year's Day,BR,True,True,,Public,
2017-02-28,Carnaval,Carnival,BR,False,True,,Public,
2017-04-14,Sexta-feira Santa,Good Friday,BR,False,True,,Public,
2017-04-16,Domingo de Páscoa,Easter Sunday,BR,False,True,,Public,
2017-04-21,Dia de Tiradentes,Tiradentes,BR,True,True,,Public,
2017-05-01,Dia do Trabalhador,Labour Day,BR,True,True,,Public,
2017-06-15,Corpus Christi,Corpus Christi,BR,False,True,,Public,
2017-07-09,Revolução Constitucionalista de 1932,Constitutionalist Revolution of 1932,BR,True,False,,Public,BR-SP
2017-09-07,Dia da Independência,Independence Day,BR,True,True,,Public,
2017-10-12,Nossa Senhora Aparecida,Our Lady of Aparecida,BR,True,True,,Public,
2017-11-02,Dia de Finados,All Souls' Day,BR,True,True,,Public,
2017-11-15,Proclamação da República,Republic Proclamation Day,BR,True,True,,Public,
2017-12-25,Natal,Christmas Day,BR,True,True,,Public,
